EPC,Frequency,Phase,RSSI,Timestamp
b'2023081808726A041A901320',902998,0,-90,1711535220.669
b'2023081808726A041A901320',902999,3,-91,1711535220.707
b'2023081808726A041A901320',902998,7,-91,1711535220.742
b'2023081808726A041A901320',902999,6,-91,1711535220.777
b'2023081808726A041A901320',902998,6,-90,1711535220.815
b'2023081808726A041A901320',902999,8,-90,1711535220.852
b'2023081808726A041A901320',902998,11,-91,1711535220.889
b'2023081808726A041A901320',902999,13,-89,1711535220.923
b'2023081808726A041A901320',902998,13,-89,1711535220.961
b'2023081808726A041A901320',902999,15,-90,1711535220.996
b'2023081808726A041A901320',902998,17,-89,1711535221.035
b'2023081808726A041A901320',902999,19,-90,1711535221.069
b'2023081808726A041A901320',902998,20,-90,1711535221.105
b'2023081808726A041A901320',902999,22,-89,1711535221.143
b'2023081808726A041A901320',902998,21,-90,1711535221.18
b'2023081808726A041A901320',902999,24,-90,1711535221.216
b'2023081808726A041A901320',902998,21,-89,1711535221.251
b'2023081808726A041A901320',902999,27,-91,1711535221.289
b'2023081808726A041A901320',902998,26,-90,1711535221.325
b'2023081808726A041A901320',902999,33,-90,1711535221.361
b'2023081808726A041A901320',902998,31,-90,1711535221.397
b'2023081808726A041A901320',902999,33,-90,1711535221.434
b'2023081808726A041A901320',902998,34,-91,1711535221.469
b'2023081808726A041A901320',902999,34,-90,1711535221.505
b'2023081808726A041A901320',902998,35,-91,1711535221.546
b'2023081808726A041A901320',902999,36,-90,1711535221.581
b'2023081808726A041A901320',902998,36,-89,1711535221.617
b'2023081808726A041A901320',902999,35,-89,1711535221.652
b'2023081808726A041A901320',902998,36,-90,1711535221.688
b'2023081808726A041A901320',902999,37,-89,1711535221.724
b'2023081808726A041A901320',902998,40,-90,1711535221.762
b'2023081808726A041A901320',902999,42,-90,1711535221.8
b'2023081808726A041A901320',902998,48,-90,1711535221.836
b'2023081808726A041A901320',902999,46,-89,1711535221.872
b'2023081808726A041A901320',902998,49,-90,1711535221.91
b'2023081808726A041A901320',902999,51,-90,1711535221.946
b'2023081808726A041A901320',902998,51,-90,1711535221.982
b'2023081808726A041A901320',902999,50,-90,1711535222.017
b'2023081808726A041A901320',902998,55,-90,1711535222.039
b'2023081808726A041A901320',902999,62,-91,1711535222.077
b'2023081808726A041A901320',902998,63,-91,1711535222.113
b'2023081808726A041A901320',902999,65,-90,1711535222.148
b'2023081808726A041A901320',902998,69,-93,1711535222.184
b'2023081808726A041A901320',902999,67,-90,1711535222.222
b'2023081808726A041A901339',902998,40,-92,1711535222.807
b'2023081808726A041A901339',902999,47,-91,1711535222.843
b'2023081808726A041A901339',902998,47,-91,1711535222.88
b'2023081808726A041A901339',902999,43,-91,1711535222.916
b'2023081808726A041A901339',902998,50,-91,1711535222.953
b'2023081808726A041A901339',902999,46,-91,1711535222.987
b'2023081808726A041A901339',902998,44,-90,1711535223.025
b'2023081808726A041A901339',902999,48,-92,1711535223.062
b'2023081808726A041A901339',902998,48,-91,1711535223.099
b'2023081808726A041A901339',902999,50,-90,1711535223.134
b'2023081808726A041A901339',902998,47,-91,1711535223.17
b'2023081808726A041A901339',902999,44,-91,1711535223.208
b'2023081808726A041A901339',902998,45,-91,1711535223.244
b'2023081808726A041A901339',902999,45,-92,1711535223.28
b'2023081808726A041A901339',902998,40,-91,1711535223.318
b'2023081808726A041A901339',902999,40,-90,1711535223.356
b'2023081808726A041A901339',902998,39,-92,1711535223.393
b'2023081808726A041A901339',902999,33,-90,1711535223.429
b'2023081808726A041A901339',902998,39,-91,1711535223.466
b'2023081808726A041A901339',902999,39,-90,1711535223.502
b'2023081808726A041A901339',902998,40,-90,1711535223.537
b'2023081808726A041A901339',902999,38,-91,1711535223.558
b'2023081808726A041A901339',902998,41,-91,1711535223.594
b'2023081808726A041A901339',902999,37,-90,1711535223.631
b'2023081808726A041A901339',902998,40,-91,1711535223.667
b'2023081808726A041A901339',902999,41,-89,1711535223.702
b'2023081808726A041A901339',902998,40,-90,1711535223.739
b'2023081808726A041A901339',902999,35,-91,1711535223.775
b'2023081808726A041A901339',902998,39,-90,1711535223.812
b'2023081808726A041A901339',902999,40,-90,1711535223.85
b'2023081808726A041A901339',902998,36,-90,1711535223.886
b'2023081808726A041A901339',902999,35,-90,1711535223.923
b'2023081808726A041A901339',902998,36,-92,1711535223.959
b'2023081808726A041A901339',902999,33,-91,1711535223.994
b'2023081808726A041A901339',902998,34,-91,1711535224.032
b'2023081808726A041A901339',902999,55,-91,1711535224.464
b'2023081808726A041A901339',902998,55,-91,1711535224.501
b'2023081808726A041A901339',902999,57,-91,1711535224.538
b'2023081808726A041A901339',902999,57,-90,1711535224.581
b'2023081808726A041A901339',902998,64,-90,1711535224.614
b'2023081808726A041A901339',902999,71,-91,1711535224.649
b'2023081808726A041A901339',902998,58,-90,1711535224.686
b'2023081808726A041A901339',902999,73,-91,1711535224.721
b'2023081808726A041A901339',902998,75,-90,1711535224.758
b'2023081808726A041A901339',902999,77,-90,1711535224.793
b'2023081808726A041A901339',902999,78,-92,1711535224.838
b'2023081808726A041A901339',902998,75,-91,1711535224.868
b'2023081808726A041A901339',902999,74,-92,1711535224.904
b'2023081808726A041A901339',902998,77,-91,1711535224.941
b'2023081808726A041A901339',902999,75,-91,1711535224.977
b'2023081808726A041A901339',902998,80,-92,1711535225.013
b'2023081808726A041A901339',902999,74,-91,1711535225.048
b'2023081808726A041A901339',902999,76,-91,1711535225.09
b'2023081808726A041A901339',902999,76,-91,1711535225.168
b'2023081808726A041A901339',902999,69,-92,1711535225.227
b'2023081808726A041A901339',902999,70,-92,1711535225.294
b'2023081808726A041A901339',902998,77,-92,1711535225.329
b'2023081808726A041A901339',902999,77,-91,1711535225.354
b'2023081808726A041A901339',902998,80,-92,1711535225.39
b'2023081808726A041A901339',902998,81,-90,1711535225.457
b'2023081808726A041A901339',902999,83,-93,1711535225.494
b'2023081808726A041A901339',902998,85,-91,1711535225.529
b'2023081808726A041A901339',902999,87,-91,1711535225.565
b'2023081808726A041A901339',902999,85,-92,1711535225.613
b'2023081808726A041A901339',902999,88,-91,1711535225.619
b'2023081808726A041A901339',902998,85,-91,1711535225.655
